startno,startX,startY,startZ,valve,stopno,stopX,stopY,stopZ,valve,diameter,,,,,
1-126,128.9052583,35.15489312,0,0,1-127,128.905192,35.15447472,0,1,100,,,,,
1-126,128.9052583,35.15489312,0,1,1-125,128.9058795,35.15485813,0,1,100,,,,,
1-127,128.905192,35.15447471,0,2,1-130,128.9051322,35.15413973,0,0,100,,,,,
1-127,128.905192,35.15447471,0,1,1-128,128.9058443,35.15443796,0,0,100,,,,,
1-128,128.9058443,35.15443796,0,1,1-129,128.9058162,35.15410119,0,2,100,,,,,
1-128,128.9058443,35.15443796,0,0,1-128-1,128.9061154,35.15442268,0,0,100,,,,,
1-128-1,128.9061154,35.15442267,0,0,1-055,128.9063804,35.15453424,0,1,100,,,,,
1-129,128.9058162,35.15410119,0,0,1-132,128.9057832,35.15370552,0,0,100,,,,,
1-130,128.9051322,35.15413972,0,0,1-131,128.9050647,35.15374601,0,2,100,,,,,
1-130,128.9051322,35.15413972,0,1,1-129,128.9058162,35.15410119,0,1,100,,,,,
1-131,128.9050647,35.153746,0,0,1-134,128.9050141,35.15335133,0,0,100,,,,,
1-131,128.9050647,35.153746,0,1,1-132,128.9057832,35.15370552,0,1,100,,,,,
1-132,128.9057831,35.15370551,0,0,1-133,128.9057501,35.15330985,0,2,100,,,,,
1-133,128.9057501,35.15330985,0,0,1-136,128.905717,35.15291419,0,0,100,,,,,
1-134,128.9050141,35.15335132,0,0,1-135,128.9049553,35.15295712,0,2,100,,,,,
1-134,128.9050141,35.15335132,0,1,1-133,128.9057501,35.15330985,0,1,100,,,,,
1-135,128.9049552,35.15295711,0,0,1-138,128.9048921,35.15257218,0,1,100,,,,,
1-135,128.9049552,35.15295711,0,1,1-136,128.905717,35.15291419,0,1,100,,,,,
1-136,128.905717,35.15291419,0,0,1-137,128.9056847,35.15252751,0,1,100,,,,,
1-137,128.9056847,35.15252751,0,1,1-140,128.9056524,35.15214084,0,0,100,,,,,
1-137,128.9056847,35.15252751,0,0,1-058,128.9062103,35.1524979,0,1,100,,,,,
1-138,128.904892,35.15257217,0,2,1-139,128.9048677,35.15218506,0,2,100,,,,,
1-138,128.904892,35.15257217,0,1,1-137,128.9056847,35.15252751,0,2,100,,,,,
1-139,128.9048677,35.15218505,0,0,1-139-1,128.9048598,35.15201497,0,0,100,,,,,
1-139,128.9048677,35.15218505,0,1,1-140,128.9056524,35.15214084,0,1,100,,,,,
1-139-1,128.9048598,35.15201496,0,0,1-142,128.904888,35.15185867,0,0,100,,,,,
1-140,128.9056524,35.15214083,0,2,1-141,128.9056254,35.1518171,0,0,100,,,,,
1-142,128.9048879,35.15185866,0,0,1-141,128.9056254,35.1518171,0,0,100,,,,,
1-143,128.9051001,35.15145494,0,0,1-146,128.905055,35.15091466,0,2,50,,,,,
1-144,128.9055818,35.15142779,0,0,1-145,128.9055367,35.15088751,0,2,50,,,,,
1-145,128.9055367,35.1508875,0,2,1-149,128.9055086,35.15055029,0,0,50,,,,,
1-145,128.9055367,35.1508875,0,0,1-061,128.9060732,35.15085727,0,2,50,,,,,
1-146,128.9050549,35.15091466,0,2,1-148,128.9050268,35.15057744,0,0,50,,,,,
1-146,128.9050549,35.15091466,0,0,1-145,128.9055367,35.15088751,0,0,50,,,,,
1-146,128.9050549,35.15091466,0,2,1-147,128.9047537,35.15093163,0,0,50,,,,,
1-147,128.9047537,35.15093162,0,0,1-147-1,128.9047504,35.15070672,0,0,50,,,,,
1-147-1,128.9047504,35.15070671,0,0,1-147-2,128.9047463,35.1504224,0,0,50,,,,,
1-147-2,128.9047463,35.15042239,0,0,1-147-3,128.9047391,35.15027233,0,0,50,,,,,
1-147-3,128.9047391,35.15027232,0,0,1-147-4,128.9047509,35.15006333,0,0,50,,,,,
1-147-4,128.9047509,35.15006333,0,0,1-147-5,128.9047628,35.14995723,0,0,50,,,,,
1-147-5,128.9047627,35.14995722,0,0,1-147-6,128.9047659,35.14991038,0,0,50,,,,,
1-147-6,128.9047658,35.14991037,0,0,1-147-7,128.9049104,35.14973952,0,0,50,,,,,
1-147-7,128.9049104,35.14973951,0,0,1-152,128.9049666,35.14972478,0,2,50,,,,,
1-150,128.9054789,35.15019508,0,0,1-153,128.9054374,35.14969826,0,2,50,,,,,
1-151,128.9050081,35.15022161,0,0,1-152,128.9049666,35.14972478,0,2,50,,,,,
1-152,128.9049665,35.14972478,0,2,1-154,128.9049303,35.14929074,0,0,50,,,,,
1-152,128.9049665,35.14972478,0,0,1-153,128.9054374,35.14969826,0,0,50,,,,,
1-153,128.9054373,35.14969825,0,2,1-155,128.9054011,35.1492642,0,0,50,,,,,
1-153,128.9054373,35.14969825,0,0,1-062,128.9059739,35.14966802,0,2,50,,,,,
1-156,128.906735,35.14172953,2.06,0,1-157,128.9052121,35.14181538,1.91,0,100,,,,,
1-157,128.9052121,35.14181537,1.9,0,1-158,128.9052638,35.14141855,1.97,0,100,,,,,
1-158,128.9052638,35.14141854,1.97,1,1-161,128.9053074,35.14102218,1.92,0,100,,,,,
1-158,128.9052638,35.14141854,1.97,1,1-159,128.9067023,35.14133747,2.17,1,100,,,,,
1-159,128.9067022,35.14133746,2.17,0,1-156,128.9067351,35.14172954,2.06,0,100,,,,,
1-160,128.9066695,35.14094539,2.13,0,1-159,128.9067023,35.14133747,2.17,1,100,,,,,
1-161,128.9053074,35.14102217,1.92,0,1-162,128.9053668,35.14062492,1.78,0,100,,,,,
1-161,128.9053074,35.14102217,1.92,1,1-160,128.9066696,35.1409454,2.13,1,100,,,,,
