startNo,startX,startY,startZ,stopno,stopX,stopY,stopZ,diameter,,,,
M1-122,128.905895,35.15254276,0,M2-59,128.9057198,35.15255263,0,450,,,,
M1-123,128.9053655,35.15296109,0,SM4-12,128.9049275,35.15298577,0,450,,,,
M1-124,128.9057731,35.1531911,0,M2-60,128.9057521,35.15293931,0,450,,,,
M1-125,128.9059273,35.15292943,0,M2-60,128.9057521,35.15293931,0,450,,,,
M1-126,128.9058032,35.15355079,0,M2-61,128.9057852,35.15333497,0,450,,,,
M1-127,128.9059603,35.1533251,0,M2-61,128.9057852,35.15333497,0,450,,,,
M1-128,128.9058358,35.15394152,0,M2-62,128.9058182,35.15373064,0,450,,,,
M1-129,128.9059934,35.15372077,0,M2-62,128.9058182,35.15373064,0,450,,,,
M1-13,128.9107636,35.13546473,1.94,M2-9-1,128.9105172,35.13547863,1.78,450,,,,
M1-130,128.9058659,35.15430121,0,M2-63,128.9058513,35.15412631,0,450,,,,
M1-131,128.9060265,35.15411644,0,M2-63,128.9058513,35.15412631,0,450,,,,
M1-13-1,128.9198843,35.1588209,0,SM2-6-1,128.919386,35.15897727,0,450,,,,
M1-132,128.9058959,35.15466091,0,M2-64,128.9058809,35.15448106,0,450,,,,
M1-133,128.9060561,35.15447119,0,M2-64,128.9058809,35.15448106,0,450,,,,
M1-134,128.9059145,35.15488325,0,SM2-67,128.9052284,35.15492191,0,450,,,,
M1-135,128.905926,35.15502061,0,M1-134,128.9059145,35.15488325,0,450,,,,
M1-136,128.9059476,35.15527892,0,M2-65,128.905326,35.15531394,0,450,,,,
M1-137,128.9059636,35.15547023,0,M1-136,128.9059476,35.15527892,0,450,,,,
M1-138,128.9054135,35.15577895,0,M2-66,128.9054098,35.15570675,0,450,,,,
M1-139,128.9061558,35.15566469,0,M2-66,128.9054098,35.15570675,0,450,,,,
M1-14,128.9107768,35.13562299,1.87,M1-15-1,128.9105304,35.13563689,1.83,450,,,,
M1-140,128.9063864,35.15579063,0,M2-67,128.9063488,35.15534101,0,450,,,,
M1-141,128.909204,35.15429375,0,SM3-37,128.9088755,35.15431226,0,450,,,,
M1-14-1,128.9203456,35.15867612,0,M1-13-1,128.9198843,35.1588209,0,450,,,,
M1-142,128.9095347,35.15561759,0,M2-69,128.9094783,35.15494315,0,450,,,,
M1-143,128.9096973,35.1549308,0,BM52,128.909642,35.15426905,0,500,,,,
M1-144,128.9097537,35.15560524,0,M1-143,128.9096973,35.1549308,0,450,,,,
M1-145,128.9101627,35.15451073,0,BM53,128.9101402,35.15424096,0,450,,,,
M1-146,128.9102251,35.15466532,0,SM2-72,128.9109368,35.15462518,0,500,,,,
M1-147,128.9102984,35.15554163,0,M1-148,128.9102632,35.15512079,0,450,,,,
M1-148,128.9102632,35.15512079,0,M1-146,128.9102251,35.15466532,0,450,,,,
M1-15,128.9066612,35.13705833,1.43,SM2-13,128.9066468,35.13723822,1.39,450,,,,
M1-150,128.9057223,35.15853318,0,M1-151,128.9057312,35.15825843,0,450,,,,
M1-151,128.9057312,35.15825843,0,M1-152,128.9056836,35.15774172,0,450,,,,
M1-15-1,128.9105304,35.13563689,1.83,M2-9-1,128.9105172,35.13547863,1.78,450,,,,
M1-152,128.9056836,35.15774172,0,M1-152_1,128.905573,35.15735702,0,450,,,,
M1-153,128.9063923,35.15849542,0,M1-150,128.9057223,35.15853318,0,450,,,,
M1-154,128.9061834,35.15783805,0,M1-154_1,128.9061405,35.15732504,0,450,,,,
M1-155,128.9062285,35.15837761,0,M1-154,128.9061834,35.15783805,0,450,,,,
M1-156,128.9065817,35.15812866,0,M2-72,128.9065442,35.15767904,0,500,,,,
M1-157,128.9066193,35.15857829,0,M1-156,128.9065817,35.15812866,0,500,,,,
M1-158,128.9059596,35.1569045,0,M2-73,128.9055217,35.15692918,0,450,,,,
M1-159,128.9059161,35.15650942,0,M2-74,128.9054781,35.1565341,0,450,,,,
M1-16,128.9113058,35.13543413,1.78,M2-11-1,128.9114898,35.13542376,1.53,450,,,,
M1-160,128.9061992,35.15609594,0,M2-75,128.9054318,35.15613918,0,450,,,,
M1-161,128.9054254,35.1560131,0,M2-75,128.9054318,35.15613918,0,450,,,,
M1-162,128.9060932,35.15675897,0,M1-162_1,128.9061361,35.15727198,0,450,,,,
M1-163,128.9060482,35.15621941,0,M1-162,128.9060932,35.15675897,0,450,,,,
M1-165,128.9064052,35.15601544,0,M2-23-1,128.9064352,35.15637514,0,500,,,,
M1-166,128.9090033,35.15584098,0,M2-78,128.9090334,35.15620067,0,500,,,,
M1-167,128.9097828,35.15858509,0,M2-80,128.9097452,35.15813546,0,500,,,,
M1-168,128.9096023,35.15642691,0,BM65,128.9096573,35.15708479,0,450,,,,
M1-169,128.9095497,35.15579743,0,M1-168,128.9096023,35.15642691,0,450,,,,
M1-17,128.9065659,35.13853316,1.45,M2-993,128.9058629,35.13852492,1.25,500,,,,
M1-170,128.9100018,35.15857274,0,M2-82,128.9099642,35.15812312,0,500,,,,
M1-171,128.9098213,35.15641456,0,BM66,128.9098758,35.15706569,0,450,,,,
M1-17-1,128.9111964,35.13544031,2.08,M2-4-1,128.9108734,35.13545696,1.7,450,,,,
M1-172,128.9097687,35.15578508,0,M1-171,128.9098213,35.15641456,0,450,,,,
M1-173,128.9103533,35.15678986,0,BM67,128.9103758,35.15705963,0,450,,,,
M1-174,128.9103886,35.15662072,0,SM2-80,128.9111003,35.15658059,0,450,,,,
M1-175,128.9103548,35.15621606,0,M1-174,128.9103886,35.15662072,0,450,,,,
M1-176,128.9103172,35.15576644,0,M1-175,128.9103548,35.15621606,0,450,,,,
M1-177,128.9110252,35.1556818,0,M2-83,128.9110515,35.15599653,0,450,,,,
M1-178,128.9128471,35.15624404,0,M2-84,128.9130661,35.15623168,0,450,,,,
M1-179,128.9129209,35.15557183,0,M2-84,128.9130661,35.15623168,0,500,,,,
M1-18,128.9065637,35.13871948,1.6,M1-17,128.9065659,35.13853316,1.5,450,,,,
M1-180,128.9060626,35.15981501,0,SM2-83,128.9067196,35.15977799,0,450,,,,
M1-181,128.9062613,35.15877087,0,M1-182,128.9062954,35.15917849,0,450,,,,
M1-18-1,128.9115135,35.13570792,1.6,M2-11-1,128.9114898,35.13542376,1.53,450,,,,
M1-182,128.9062954,35.15917849,0,M2-88,128.9063292,35.15958315,0,450,,,,
M1-183,128.905921,35.15960616,0,M2-88,128.9063292,35.15958315,0,500,,,,
M1-184,128.9058127,35.15919706,0,M1-183,128.905921,35.15960616,0,450,,,,
M1-185,128.9057505,35.15879966,0,M1-184,128.9058127,35.15919706,0,450,,,,
M1-186,128.9097978,35.15876494,0,M2-89,128.9098467,35.15934944,0,500,,,,
M1-187,128.9100168,35.15875259,0,M2-90,128.9100619,35.15929213,0,450,,,,
M1-188,128.9122641,35.13788495,3.04,M1-191,128.9125736,35.1376293,2.75,450,,,284405.0724,191895.4936
M1-189,128.913391,35.13842412,2.56,SM2-88,128.9129726,35.13876975,2.46,500,,,,
